customer_id,interaction_type,interaction_outcome,payment_method,payment_status,Transaction_type,TheLastTransDate,Months_Since_Last_Transaction,Target
1552,Feedback,Pending,Debit Card,Pending,Refund,2020-01-01,57,0
1552,Feedback,Pending,PayPal,Pending,Purchase,2020-01-01,57,0
5136,Complaint,Pending,Credit Card,Completed,Purchase,2020-01-02,57,0
5653,Feedback,Implemented,Credit Card,Refunded,Refund,2020-01-02,57,0
9004,Complaint,Implemented,PayPal,Completed,Purchase,2020-01-02,57,0
9004,Support Request,Pending,PayPal,Completed,Purchase,2020-01-02,57,0
10553,Feedback,Resolved,Debit Card,Pending,Purchase,2020-01-02,57,0
1739,Feedback,Implemented,Credit Card,Refunded,Purchase,2020-01-03,57,0
4360,Complaint,Pending,Credit Card,Refunded,Purchase,2020-01-05,57,0
4360,Complaint,Pending,Debit Card,Pending,Purchase,2020-01-05,57,0
4360,Support Request,Implemented,Credit Card,Refunded,Purchase,2020-01-05,57,0
4360,Support Request,Implemented,Debit Card,Pending,Purchase,2020-01-05,57,0
2833,Complaint,Resolved,Credit Card,Completed,Refund,2020-01-05,57,0
2833,Complaint,Resolved,Credit Card,Pending,Refund,2020-01-05,57,0
2833,Complaint,Resolved,PayPal,Completed,Purchase,2020-01-05,57,0
10413,Feedback,Implemented,Debit Card,Pending,Purchase,2020-01-05,57,0
10413,Feedback,Implemented,Debit Card,Pending,Refund,2020-01-05,57,0
10413,Support Request,Pending,Debit Card,Pending,Purchase,2020-01-05,57,0
10413,Support Request,Pending,Debit Card,Pending,Refund,2020-01-05,57,0
9785,Support Request,Unresolved,Credit Card,Pending,Refund,2020-01-05,57,0
9785,Support Request,Unresolved,Debit Card,Pending,Purchase,2020-01-05,57,0
9785,Support Request,Unresolved,PayPal,Pending,Purchase,2020-01-05,57,0
10266,Feedback,Unresolved,Credit Card,Completed,Refund,2020-01-06,57,0
10266,Feedback,Unresolved,Credit Card,Pending,Purchase,2020-01-06,57,0
10266,Feedback,Unresolved,Debit Card,Completed,Refund,2020-01-06,57,0
10266,Support Request,Pending,Credit Card,Completed,Refund,2020-01-06,57,0
10266,Support Request,Pending,Credit Card,Pending,Purchase,2020-01-06,57,0
10266,Support Request,Pending,Debit Card,Completed,Refund,2020-01-06,57,0
5870,Feedback,Resolved,Credit Card,Refunded,Refund,2020-01-06,57,0
5870,Support Request,Resolved,Credit Card,Refunded,Refund,2020-01-06,57,0
1996,Feedback,Pending,Debit Card,Pending,Purchase,2020-01-06,57,0
1996,Feedback,Pending,PayPal,Pending,Purchase,2020-01-06,57,0
1996,Feedback,Pending,PayPal,Refunded,Refund,2020-01-06,57,0
1996,Support Request,Implemented,Debit Card,Pending,Purchase,2020-01-06,57,0
1996,Support Request,Implemented,PayPal,Pending,Purchase,2020-01-06,57,0
1996,Support Request,Implemented,PayPal,Refunded,Refund,2020-01-06,57,0
1231,Complaint,Pending,Debit Card,Completed,Purchase,2020-01-06,57,0
6270,Support Request,Implemented,PayPal,Pending,Refund,2020-01-07,57,0
6270,Support Request,Implemented,PayPal,Refunded,Purchase,2020-01-07,57,0
6487,Support Request,Implemented,Debit Card,Pending,Refund,2020-01-07,57,0
6487,Support Request,Implemented,Debit Card,Refunded,Purchase,2020-01-07,57,0
6764,Support Request,Implemented,Debit Card,Pending,Purchase,2020-01-07,57,0
7402,Complaint,Resolved,PayPal,Refunded,Purchase,2020-01-07,57,0
9343,Complaint,Pending,PayPal,Pending,Purchase,2020-01-07,57,0
9343,Complaint,Unresolved,PayPal,Pending,Purchase,2020-01-07,57,0
8058,Complaint,Implemented,PayPal,Pending,Purchase,2020-01-08,57,0
6150,Feedback,Pending,Debit Card,Completed,Refund,2020-01-08,57,0
6150,Support Request,Implemented,Debit Card,Completed,Refund,2020-01-08,57,0
6150,Support Request,Pending,Debit Card,Completed,Refund,2020-01-08,57,0
6693,Complaint,Pending,Debit Card,Pending,Refund,2020-01-09,57,0
10148,Feedback,Implemented,Credit Card,Pending,Purchase,2020-01-09,57,0
5142,Feedback,Resolved,PayPal,Refunded,Refund,2020-01-09,57,0
5142,Feedback,Unresolved,PayPal,Refunded,Refund,2020-01-09,57,0
5142,Support Request,Unresolved,PayPal,Refunded,Refund,2020-01-09,57,0
8479,Feedback,Pending,Credit Card,Pending,Purchase,2020-01-10,57,0
8479,Feedback,Pending,PayPal,Refunded,Refund,2020-01-10,57,0
4763,Complaint,Unresolved,Credit Card,Completed,Refund,2020-01-11,57,0
4763,Complaint,Unresolved,Debit Card,Completed,Purchase,2020-01-11,57,0
4763,Complaint,Unresolved,PayPal,Refunded,Refund,2020-01-11,57,0
136,Complaint,Unresolved,PayPal,Refunded,Purchase,2020-01-11,57,0
136,Feedback,Unresolved,PayPal,Refunded,Purchase,2020-01-11,57,0
2947,Support Request,Pending,PayPal,Completed,Purchase,2020-01-12,57,0
5780,Feedback,Pending,Credit Card,Pending,Purchase,2020-01-13,57,0
5780,Feedback,Pending,Debit Card,Pending,Purchase,2020-01-13,57,0
5780,Feedback,Pending,PayPal,Completed,Refund,2020-01-13,57,0
8885,Feedback,Pending,Debit Card,Pending,Purchase,2020-01-14,57,0
8885,Feedback,Pending,PayPal,Refunded,Refund,2020-01-14,57,0
250,Feedback,Implemented,Credit Card,Completed,Refund,2020-01-15,57,0
250,Feedback,Implemented,Credit Card,Refunded,Refund,2020-01-15,57,0
250,Feedback,Implemented,Debit Card,Completed,Purchase,2020-01-15,57,0
10364,Support Request,Unresolved,Credit Card,Refunded,Purchase,2020-01-16,57,0
10364,Support Request,Unresolved,Credit Card,Refunded,Refund,2020-01-16,57,0
7775,Complaint,Implemented,Credit Card,Completed,Purchase,2020-01-16,57,0
7775,Complaint,Implemented,Credit Card,Refunded,Purchase,2020-01-16,57,0
7775,Complaint,Implemented,Debit Card,Completed,Refund,2020-01-16,57,0
7174,Feedback,Unresolved,PayPal,Refunded,Refund,2020-01-18,57,0
9594,Support Request,Resolved,PayPal,Pending,Refund,2020-01-18,57,0
4720,Feedback,Pending,Credit Card,Pending,Purchase,2020-01-18,57,0
4720,Feedback,Pending,Credit Card,Refunded,Refund,2020-01-18,57,0
4720,Feedback,Pending,Debit Card,Refunded,Purchase,2020-01-18,57,0
4720,Feedback,Pending,Debit Card,Refunded,Refund,2020-01-18,57,0
4803,Support Request,Implemented,Credit Card,Refunded,Purchase,2020-01-18,57,0
4803,Support Request,Resolved,Credit Card,Refunded,Purchase,2020-01-18,57,0
5431,Support Request,Unresolved,Debit Card,Completed,Purchase,2020-01-19,57,0
5431,Support Request,Unresolved,Debit Card,Refunded,Refund,2020-01-19,57,0
5431,Support Request,Unresolved,PayPal,Completed,Purchase,2020-01-19,57,0
2924,Support Request,Implemented,Credit Card,Completed,Purchase,2020-01-19,57,0
1114,Complaint,Implemented,Debit Card,Completed,Purchase,2020-01-20,57,0
1114,Complaint,Unresolved,Debit Card,Completed,Purchase,2020-01-20,57,0
1192,Complaint,Resolved,Credit Card,Refunded,Purchase,2020-01-21,57,0
1192,Complaint,Resolved,Debit Card,Completed,Refund,2020-01-21,57,0
2024,Complaint,Implemented,Debit Card,Refunded,Refund,2020-01-21,57,0
2024,Complaint,Implemented,PayPal,Refunded,Refund,2020-01-21,57,0
2024,Support Request,Unresolved,Debit Card,Refunded,Refund,2020-01-21,57,0
2024,Support Request,Unresolved,PayPal,Refunded,Refund,2020-01-21,57,0
2402,Feedback,Resolved,Credit Card,Completed,Refund,2020-01-21,57,0
2402,Feedback,Resolved,Debit Card,Pending,Purchase,2020-01-21,57,0
2402,Feedback,Resolved,Debit Card,Pending,Refund,2020-01-21,57,0
9177,Complaint,Implemented,Credit Card,Pending,Refund,2020-01-21,57,0
10561,Complaint,Pending,Debit Card,Refunded,Purchase,2020-01-22,57,0
10561,Support Request,Pending,Debit Card,Refunded,Purchase,2020-01-22,57,0
10561,Support Request,Resolved,Debit Card,Refunded,Purchase,2020-01-22,57,0
4393,Feedback,Unresolved,Credit Card,Completed,Refund,2020-01-22,57,0
4393,Feedback,Unresolved,PayPal,Pending,Refund,2020-01-22,57,0
4393,Feedback,Unresolved,PayPal,Refunded,Refund,2020-01-22,57,0
2130,Support Request,Unresolved,Credit Card,Completed,Purchase,2020-01-23,57,0
10476,Support Request,Unresolved,PayPal,Pending,Purchase,2020-01-23,57,0
5119,Support Request,Unresolved,Credit Card,Refunded,Purchase,2020-01-24,57,0
5119,Support Request,Unresolved,Debit Card,Completed,Refund,2020-01-24,57,0
7173,Feedback,Resolved,Credit Card,Completed,Refund,2020-01-25,57,0
7173,Feedback,Resolved,Debit Card,Refunded,Purchase,2020-01-25,57,0
7173,Support Request,Pending,Credit Card,Completed,Refund,2020-01-25,57,0
7173,Support Request,Pending,Debit Card,Refunded,Purchase,2020-01-25,57,0
7562,Support Request,Unresolved,Credit Card,Completed,Refund,2020-01-25,57,0
7562,Support Request,Unresolved,PayPal,Refunded,Purchase,2020-01-25,57,0
5916,Feedback,Resolved,Credit Card,Completed,Refund,2020-01-25,57,0
5916,Feedback,Resolved,PayPal,Refunded,Refund,2020-01-25,57,0
5932,Support Request,Unresolved,Debit Card,Completed,Purchase,2020-01-26,57,0
2802,Complaint,Unresolved,Credit Card,Completed,Purchase,2020-01-26,57,0
337,Complaint,Implemented,Credit Card,Pending,Purchase,2020-01-26,57,0
467,Support Request,Pending,Credit Card,Refunded,Purchase,2020-01-26,57,0
495,Support Request,Pending,PayPal,Pending,Purchase,2020-01-26,57,0
1403,Feedback,Implemented,Credit Card,Completed,Refund,2020-01-27,57,0
1403,Feedback,Implemented,PayPal,Refunded,Refund,2020-01-27,57,0
1403,Support Request,Pending,Credit Card,Completed,Refund,2020-01-27,57,0
1403,Support Request,Pending,PayPal,Refunded,Refund,2020-01-27,57,0
6780,Feedback,Pending,Debit Card,Refunded,Purchase,2020-01-27,57,0
6780,Feedback,Pending,PayPal,Refunded,Refund,2020-01-27,57,0
7028,Support Request,Unresolved,Credit Card,Pending,Purchase,2020-01-27,57,0
8680,Feedback,Pending,PayPal,Refunded,Purchase,2020-01-27,57,0
10681,Complaint,Implemented,PayPal,Pending,Refund,2020-01-29,57,0
10681,Complaint,Pending,PayPal,Pending,Refund,2020-01-29,57,0
1398,Feedback,Resolved,PayPal,Completed,Purchase,2020-01-29,57,0
758,Support Request,Pending,Credit Card,Completed,Refund,2020-01-29,57,0
4554,Support Request,Unresolved,Credit Card,Refunded,Refund,2020-01-30,57,0
4554,Support Request,Unresolved,PayPal,Refunded,Purchase,2020-01-30,57,0
6549,Feedback,Implemented,Debit Card,Completed,Purchase,2020-01-30,57,0
7548,Feedback,Implemented,Credit Card,Pending,Refund,2020-01-31,57,0
7548,Feedback,Implemented,Debit Card,Pending,Refund,2020-01-31,57,0
7548,Feedback,Implemented,PayPal,Completed,Refund,2020-01-31,57,0
7548,Feedback,Implemented,PayPal,Refunded,Refund,2020-01-31,57,0
7718,Feedback,Pending,Credit Card,Refunded,Refund,2020-01-31,57,0
7718,Support Request,Resolved,Credit Card,Refunded,Refund,2020-01-31,57,0
3090,Support Request,Implemented,Credit Card,Completed,Purchase,2020-01-31,57,0
3090,Support Request,Implemented,PayPal,Refunded,Purchase,2020-01-31,57,0
3090,Support Request,Unresolved,Credit Card,Completed,Purchase,2020-01-31,57,0
3090,Support Request,Unresolved,PayPal,Refunded,Purchase,2020-01-31,57,0
675,Complaint,Pending,Debit Card,Completed,Refund,2020-01-31,57,0
1637,Feedback,Unresolved,Debit Card,Pending,Refund,2020-01-31,57,0
2095,Complaint,Resolved,Debit Card,Pending,Purchase,2020-01-31,57,0
2095,Feedback,Pending,Debit Card,Pending,Purchase,2020-01-31,57,0
2095,Feedback,Unresolved,Debit Card,Pending,Purchase,2020-01-31,57,0
2095,Support Request,Resolved,Debit Card,Pending,Purchase,2020-01-31,57,0
6658,Complaint,Unresolved,Debit Card,Pending,Refund,2020-02-01,56,0
6064,Support Request,Pending,Debit Card,Pending,Purchase,2020-02-02,56,0
6064,Support Request,Pending,Debit Card,Refunded,Refund,2020-02-02,56,0
7035,Support Request,Resolved,Credit Card,Completed,Purchase,2020-02-02,56,0
2808,Complaint,Unresolved,Debit Card,Pending,Purchase,2020-02-02,56,0
2187,Support Request,Implemented,PayPal,Completed,Refund,2020-02-03,56,0
10720,Support Request,Unresolved,PayPal,Completed,Refund,2020-02-03,56,0
8764,Feedback,Unresolved,Credit Card,Pending,Refund,2020-02-04,56,0
9408,Feedback,Pending,PayPal,Completed,Refund,2020-02-04,56,0
9408,Support Request,Implemented,PayPal,Completed,Refund,2020-02-04,56,0
4123,Complaint,Implemented,Credit Card,Pending,Purchase,2020-02-04,56,0
4123,Complaint,Implemented,PayPal,Pending,Purchase,2020-02-04,56,0
4123,Complaint,Pending,Credit Card,Pending,Purchase,2020-02-04,56,0
4123,Complaint,Pending,PayPal,Pending,Purchase,2020-02-04,56,0
4951,Feedback,Resolved,PayPal,Completed,Refund,2020-02-04,56,0
4951,Support Request,Pending,PayPal,Completed,Refund,2020-02-04,56,0
380,Support Request,Implemented,Credit Card,Pending,Purchase,2020-02-05,56,0
58,Support Request,Implemented,Credit Card,Completed,Purchase,2020-02-05,56,0
58,Support Request,Implemented,PayPal,Pending,Purchase,2020-02-05,56,0
58,Support Request,Resolved,Credit Card,Completed,Purchase,2020-02-05,56,0
58,Support Request,Resolved,PayPal,Pending,Purchase,2020-02-05,56,0
7324,Feedback,Implemented,Credit Card,Refunded,Purchase,2020-02-05,56,0
7293,Complaint,Pending,Credit Card,Completed,Purchase,2020-02-06,56,0
7293,Complaint,Pending,PayPal,Refunded,Refund,2020-02-06,56,0
